conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1641480696597450753,Fri Mar 31 23:59:37 +0000 2023,0,@Joker_Wedoks Ngeles dh Kya Bajaj sdh jls pmbatalan oleh FIFA akibat gaduh mrka yg bikin.. sblm ada kegaduhan lancar2 aja bhkn mendekati pangundian group udah hampir ok..eh tiba2 ada penolkn team Israel ikut main .,1641953426912452608,,GM_Warrios,in,"Denpasar, Bali",0,0,0,https://x.com/Adhie_Mnoer/status/1641953426912452608,1603628939125354497,Adhie_Mnoer
1641953421224996864,Fri Mar 31 23:59:36 +0000 2023,0,Tentara israel serang pertandingan final piala liga palestina yg sedang berlangsung antara jabal al mukaber vs balata fc akankah fifa mengambil tindakan atas kejadian ini? https://t.co/0DA1ud9CKi,1641953421224996864,https://pbs.twimg.com/media/Fslj7a_aEAU2KaU.jpg,,in,,0,0,0,https://x.com/AlfaturR27686/status/1641953421224996864,1635759751857602560,AlfaturR27686
1641953411859107840,Fri Mar 31 23:59:34 +0000 2023,1249,Pengamat bola Arab: Tolak Israel Indonesia memiliki sikap yang terhormat dan teguh yang pantas memperoleh penghargaan. FIFA jika tidak malu berbuatlah sesukamu. Zionis dalah wabah dunia yang juga penjajah. https://t.co/jU2SSLGSyn #FreePalestine #OpIsrael #BDS,1641953411859107840,,,in,あなたの心に,7,38,327,https://x.com/MCAOps/status/1641953411859107840,1476693997,MCAOps
1641953384818425857,Fri Mar 31 23:59:27 +0000 2023,0,sdh saatnya UU hubungan diplomatik RI dg Israel di revisi. kepentingan RI &amp; Israel bkn hanya pd politik tapi byk dlm hal postif lainnya. tdk semua warga israel bersalah. dlm perbedaan mrk hidup damai. tahun 88 palestina sdh deklarasikan kemerdekaannya. U20 fifa pdip,1641953384818425857,,,in,,0,0,0,https://x.com/melody_levin/status/1641953384818425857,285761467,melody_levin
1641940831111086083,Fri Mar 31 23:59:20 +0000 2023,1,@Iamelisheria Hata ww unayajua mbona,1641953356120743938,,Iamelisheria,in,,0,1,0,https://x.com/KINGLUDA18/status/1641953356120743938,1282916824368254976,KINGLUDA18
1641953292107526149,Fri Mar 31 23:59:05 +0000 2023,0,ALHAMDULILLAH https://t.co/Uo3Acx5hnk SOLOIST JISOO DEBUT #JISOO_Blooming_With_ME #꽃처럼_피어난_지수_솔로,1641953292107526149,,,in,🇵🇸🏴‍☠️,0,0,0,https://x.com/dokyeolataechuu/status/1641953292107526149,1478290758763302913,dokyeolataechuu
1641649781528469505,Fri Mar 31 23:58:51 +0000 2023,0,@detikcom Belajar sejarah dulu supaya tau makna penjajah pada konflik israel-palestina. Tapi mending ga usah belajar drpd jadi pinter dan Indonesia jadi maju mereka malah bingung cari objek yg bisa dikadalin,1641953233064304640,,detikcom,in,,0,0,0,https://x.com/duda_widodo/status/1641953233064304640,271177711,duda_widodo
1641953185257476104,Fri Mar 31 23:58:40 +0000 2023,1,CAF CHAMPIONS LEAGUE Shomari Kapombe ametolewa uwanjani akichechemea huku nafasi yake ikichukuliwa na Israel Patrick 90+ Derby Tarehe 16 https://t.co/V4pqkyNnW6,1641953185257476104,https://pbs.twimg.com/media/FsljthGXoAES_T0.jpg,,in,"Dar es Salaam, Tanzania",0,0,0,https://x.com/PmtvTz/status/1641953185257476104,1547534136193302532,PmtvTz
1641725333610319872,Fri Mar 31 23:58:38 +0000 2023,0,@ainurohman Dengan TOLAK ISRAEL saja kuat kok resonansi-nya. Tapi teryata batal bukan larena ISRAEL Negeri tanpa EMPATI Miskin LEMANUSIAAN,1641953177015844864,,ainurohman,in,chemin du ciel | rue servient,0,0,0,https://x.com/DJ_Luvly/status/1641953177015844864,344063362,DJ_Luvly
1641649781528469505,Fri Mar 31 23:58:34 +0000 2023,0,@detikcom Lihat kejadian sebelum penolakan timnas israel Tragedi kanjuruhan bisa menjadi alasan kenapa Indonesia diban oleh fifa masalah yang terjadi akibat ulah suporter sendirilah. Jika sja tragedi kanjuruhan tidak terjadi kecil kemungkinan fifa memban Indonesia hnya krna menlak Israel,1641953161404616704,,detikcom,in,,0,0,0,https://x.com/risna59955414/status/1641953161404616704,1390797024639942657,risna59955414
1641627219767459841,Fri Mar 31 23:58:20 +0000 2023,0,@OposisiCerdas Kenapa dia bela israel?,1641953102390784001,,OposisiCerdas,in,,0,0,0,https://x.com/AANGMANCHUNIAN/status/1641953102390784001,2961844676,AANGMANCHUNIAN
